id;match_kind;date_time;first_team;second_team;first_team_score;second_team_score;first_team_posession;second_team_possession
groupamatch1qatarecuador;Group A  Match 1;20/11/2022 23.00;QATAR;ECUADOR;0;2;42%;50%
groupbmatch3englandiran;Group B  Match 3;21/11/2022 20.00;ENGLAND;IRAN;6;2;72%;19%
groupamatch2senegalnetherlands;Group A  Match 2;21/11/2022 23.00;SENEGAL;NETHERLANDS;0;2;44%;45%
groupbmatch4unitedstateswales;Group B  Match 4;22/11/2022 02.00;UNITED STATES;WALES;1;1;51%;39%
groupcmatch8argentinasaudiarabia;Group C  Match 8;22/11/2022 17.00;ARGENTINA;SAUDI ARABIA;1;2;64%;24%
groupdmatch6denmarktunisia;Group D  Match 6;22/11/2022 20.00;DENMARK;TUNISIA;0;0;55%;33%
groupcmatch7mexicopoland;Group C  Match 7;22/11/2022 23.00;MEXICO;POLAND;0;0;54%;31%
groupdmatch5franceaustralia;Group D  Match 5;23/11/2022 02.00;FRANCE;AUSTRALIA;4;1;56%;35%
groupfmatch12moroccocroatia;Group F  Match 12;23/11/2022 17.00;MOROCCO;CROATIA;0;0;32%;57%
groupematch11germanyjapan;Group E  Match 11;23/11/2022 20.00;GERMANY;JAPAN;1;2;65%;22%
groupematch10spaincostarica;Group E  Match 10;23/11/2022 23.00;SPAIN;COSTA RICA;7;0;74%;17%
groupfmatch9belgiumcanada;Group F  Match 9;24/11/2022 02.00;BELGIUM;CANADA;1;0;46%;43%
groupgmatch13switzerlandcameroon;Group G  Match 13;24/11/2022 17.00;SWITZERLAND;CAMEROON;1;0;43%;46%
grouphmatch14uruguaykorearepublic;Group H  Match 14;24/11/2022 20.00;URUGUAY;KOREA REPUBLIC;0;0;49%;38%
grouphmatch15portugalghana;Group H  Match 15;24/11/2022 23.00;PORTUGAL;GHANA;3;2;55%;35%
groupgmatch16brazilserbia;Group G  Match 16;25/11/2022 02.00;BRAZIL;SERBIA;2;0;53%;34%
groupbmatch17walesiran;Group B  Match 17;25/11/2022 17.00;WALES;IRAN;0;2;51%;33%
groupamatch18qatarsenegal;Group A  Match 18;25/11/2022 20.00;QATAR;SENEGAL;1;3;42%;48%
