id;match_id;category;metric;first_team_metric_values;second_team_metric_values
groupamatch1qatarecuadortotal;groupamatch1qatarecuador;Goal;Total;0;2
groupamatch1qatarecuadorconceded;groupamatch1qatarecuador;Goal;Conceded;2;0
groupamatch1qatarecuadorinsidethepenaltyarea;groupamatch1qatarecuador;Goal;Inside the Penalty Area;0;2
groupamatch1qatarecuadoroutsidethepenaltyarea;groupamatch1qatarecuador;Goal;Outside the Penalty Area;0;0
groupamatch1qatarecuadorassists;groupamatch1qatarecuador;Goal;Assists;0;1
groupamatch1qatarecuadortotal;groupamatch1qatarecuador;Attempts at Goal;Total;5;6
groupamatch1qatarecuadorontarget;groupamatch1qatarecuador;Attempts at Goal;On Target;0;3
groupamatch1qatarecuadorofftarget;groupamatch1qatarecuador;Attempts at Goal;Off Target;5;3
groupamatch1qatarecuadorinsidethepenaltyarea;groupamatch1qatarecuador;Attempts at Goal;Inside the Penalty Area;2;4
groupamatch1qatarecuadoroutsidethepenaltyarea;groupamatch1qatarecuador;Attempts at Goal;Outside the Penalty Area;3;2
groupamatch1qatarecuadorleftchannel;groupamatch1qatarecuador;Final Third Entries;Left Channel;15;8
groupamatch1qatarecuadorleftinsidechannel;groupamatch1qatarecuador;Final Third Entries;Left Inside Channel;0;7
groupamatch1qatarecuadorcentralchannel;groupamatch1qatarecuador;Final Third Entries;Central Channel;3;6
groupamatch1qatarecuadorrightinsidechannel;groupamatch1qatarecuador;Final Third Entries;Right Inside Channel;1;4
groupamatch1qatarecuadorrightchannel;groupamatch1qatarecuador;Final Third Entries;Right Channel;9;6
groupamatch1qatarecuadorpasses;groupamatch1qatarecuador;Distribution;Passes;450;480
groupamatch1qatarecuadorpassescompleted;groupamatch1qatarecuador;Distribution;Passes Completed;381;409
groupamatch1qatarecuadorcrosses;groupamatch1qatarecuador;Distribution;Crosses;9;14
groupamatch1qatarecuadorcrossescompleted;groupamatch1qatarecuador;Distribution;Crosses Completed;4;4
groupamatch1qatarecuadorswitchesofplaycompleted;groupamatch1qatarecuador;Distribution;Switches of Play Completed;9;9
groupamatch1qatarecuadorcorners;groupamatch1qatarecuador;Set Plays;Corners;1;3
groupamatch1qatarecuadorfreekicks;groupamatch1qatarecuador;Set Plays;Free Kicks;19;17
groupamatch1qatarecuadorpenaltiesscored;groupamatch1qatarecuador;Set Plays;Penalties Scored;0;1
groupamatch1qatarecuadorgoalpreventions;groupamatch1qatarecuador;Defending;Goal Preventions;6;5
groupamatch1qatarecuadorowngoals;groupamatch1qatarecuador;Defending;Own Goals;0;0
groupamatch1qatarecuadorforcedturnovers;groupamatch1qatarecuador;Defending;Forced Turnovers;52;72
groupamatch1qatarecuadorpressingapplied;groupamatch1qatarecuador;Defending;Pressing Applied;256;279
groupbmatch3englandirantotal;groupbmatch3englandiran;Goal;Total;6;2
groupbmatch3englandiranconceded;groupbmatch3englandiran;Goal;Conceded;2;6
groupbmatch3englandiraninsidethepenaltyarea;groupbmatch3englandiran;Goal;Inside the Penalty Area;6;2
groupbmatch3englandiranoutsidethepenaltyarea;groupbmatch3englandiran;Goal;Outside the Penalty Area;0;0
groupbmatch3englandiranassists;groupbmatch3englandiran;Goal;Assists;6;1
groupbmatch3englandirantotal;groupbmatch3englandiran;Attempts at Goal;Total;13;8
groupbmatch3englandiranontarget;groupbmatch3englandiran;Attempts at Goal;On Target;7;3
groupbmatch3englandiranofftarget;groupbmatch3englandiran;Attempts at Goal;Off Target;3;4
groupbmatch3englandiraninsidethepenaltyarea;groupbmatch3englandiran;Attempts at Goal;Inside the Penalty Area;10;6
groupbmatch3englandiranoutsidethepenaltyarea;groupbmatch3englandiran;Attempts at Goal;Outside the Penalty Area;3;2
groupbmatch3englandiranleftchannel;groupbmatch3englandiran;Final Third Entries;Left Channel;11;3
groupbmatch3englandiranleftinsidechannel;groupbmatch3englandiran;Final Third Entries;Left Inside Channel;5;0
groupbmatch3englandirancentralchannel;groupbmatch3englandiran;Final Third Entries;Central Channel;2;3
groupbmatch3englandiranrightinsidechannel;groupbmatch3englandiran;Final Third Entries;Right Inside Channel;3;1
groupbmatch3englandiranrightchannel;groupbmatch3englandiran;Final Third Entries;Right Channel;11;0
groupbmatch3englandiranpasses;groupbmatch3englandiran;Distribution;Passes;809;224
groupbmatch3englandiranpassescompleted;groupbmatch3englandiran;Distribution;Passes Completed;730;154
groupbmatch3englandirancrosses;groupbmatch3englandiran;Distribution;Crosses;23;8
groupbmatch3englandirancrossescompleted;groupbmatch3englandiran;Distribution;Crosses Completed;7;1
groupbmatch3englandiranswitchesofplaycompleted;groupbmatch3englandiran;Distribution;Switches of Play Completed;12;3
groupbmatch3englandirancorners;groupbmatch3englandiran;Set Plays;Corners;8;0
groupbmatch3englandiranfreekicks;groupbmatch3englandiran;Set Plays;Free Kicks;16;10
groupbmatch3englandiranpenaltiesscored;groupbmatch3englandiran;Set Plays;Penalties Scored;0;1
groupbmatch3englandirangoalpreventions;groupbmatch3englandiran;Defending;Goal Preventions;8;13
groupbmatch3englandiranowngoals;groupbmatch3englandiran;Defending;Own Goals;0;0
groupbmatch3englandiranforcedturnovers;groupbmatch3englandiran;Defending;Forced Turnovers;63;72
groupbmatch3englandiranpressingapplied;groupbmatch3englandiran;Defending;Pressing Applied;139;416
groupamatch2senegalnetherlandstotal;groupamatch2senegalnetherlands;Goal;Total;0;2
groupamatch2senegalnetherlandsconceded;groupamatch2senegalnetherlands;Goal;Conceded;2;0
groupamatch2senegalnetherlandsinsidethepenaltyarea;groupamatch2senegalnetherlands;Goal;Inside the Penalty Area;0;2
groupamatch2senegalnetherlandsoutsidethepenaltyarea;groupamatch2senegalnetherlands;Goal;Outside the Penalty Area;0;0
groupamatch2senegalnetherlandsassists;groupamatch2senegalnetherlands;Goal;Assists;0;1
groupamatch2senegalnetherlandstotal;groupamatch2senegalnetherlands;Attempts at Goal;Total;14;9
groupamatch2senegalnetherlandsontarget;groupamatch2senegalnetherlands;Attempts at Goal;On Target;3;3
groupamatch2senegalnetherlandsofftarget;groupamatch2senegalnetherlands;Attempts at Goal;Off Target;8;5
groupamatch2senegalnetherlandsinsidethepenaltyarea;groupamatch2senegalnetherlands;Attempts at Goal;Inside the Penalty Area;7;5
groupamatch2senegalnetherlandsoutsidethepenaltyarea;groupamatch2senegalnetherlands;Attempts at Goal;Outside the Penalty Area;7;4
groupamatch2senegalnetherlandsleftchannel;groupamatch2senegalnetherlands;Final Third Entries;Left Channel;12;11
groupamatch2senegalnetherlandsleftinsidechannel;groupamatch2senegalnetherlands;Final Third Entries;Left Inside Channel;4;2
groupamatch2senegalnetherlandscentralchannel;groupamatch2senegalnetherlands;Final Third Entries;Central Channel;2;2
groupamatch2senegalnetherlandsrightinsidechannel;groupamatch2senegalnetherlands;Final Third Entries;Right Inside Channel;4;7
groupamatch2senegalnetherlandsrightchannel;groupamatch2senegalnetherlands;Final Third Entries;Right Channel;13;20
groupamatch2senegalnetherlandspasses;groupamatch2senegalnetherlands;Distribution;Passes;383;438
groupamatch2senegalnetherlandspassescompleted;groupamatch2senegalnetherlands;Distribution;Passes Completed;313;374
groupamatch2senegalnetherlandscrosses;groupamatch2senegalnetherlands;Distribution;Crosses;19;25
groupamatch2senegalnetherlandscrossescompleted;groupamatch2senegalnetherlands;Distribution;Crosses Completed;7;8
groupamatch2senegalnetherlandsswitchesofplaycompleted;groupamatch2senegalnetherlands;Distribution;Switches of Play Completed;9;6
groupamatch2senegalnetherlandscorners;groupamatch2senegalnetherlands;Set Plays;Corners;6;7
groupamatch2senegalnetherlandsfreekicks;groupamatch2senegalnetherlands;Set Plays;Free Kicks;14;14
groupamatch2senegalnetherlandspenaltiesscored;groupamatch2senegalnetherlands;Set Plays;Penalties Scored;0;0
groupamatch2senegalnetherlandsgoalpreventions;groupamatch2senegalnetherlands;Defending;Goal Preventions;9;15
groupamatch2senegalnetherlandsowngoals;groupamatch2senegalnetherlands;Defending;Own Goals;0;0
groupamatch2senegalnetherlandsforcedturnovers;groupamatch2senegalnetherlands;Defending;Forced Turnovers;63;73
groupamatch2senegalnetherlandspressingapplied;groupamatch2senegalnetherlands;Defending;Pressing Applied;263;251
groupbmatch4unitedstateswalestotal;groupbmatch4unitedstateswales;Goal;Total;1;1
groupbmatch4unitedstateswalesconceded;groupbmatch4unitedstateswales;Goal;Conceded;1;1
groupbmatch4unitedstateswalesinsidethepenaltyarea;groupbmatch4unitedstateswales;Goal;Inside the Penalty Area;1;1
groupbmatch4unitedstateswalesoutsidethepenaltyarea;groupbmatch4unitedstateswales;Goal;Outside the Penalty Area;0;0
groupbmatch4unitedstateswalesassists;groupbmatch4unitedstateswales;Goal;Assists;1;0
